"Site","S","S.obs_mean"
"BAjuss",182,265
"BAlenc4",61,150
"BAuruc",230,458
"ESsoor",226,265
"MGarap1",92,94
"MGperd1",127,355
"MGuberl1",87,89
"MGuberl3",85,86
"MGuberl5",68,69
"MGvico1",93,94
"MGvico8",195,234
"MSdour",74,80
"PEalia",60,79
"PEmata2",75,88
"PEsvfer",91,120
"PRanto10",132,137
"PRanto11",99,102
"PRanto12",143,155
"PRanto13",127,133
"PRanto15",140,143
"PRanto4",119,129
"PRanto5",124,128
"PRanto6",128,132
"PRanto8",134,144
"PRanto9",134,140
"PRdiam2",84,85
"PRdiam3",74,77
"PRrico1",64,66
"PRrico2",34,41
"PRrico3",39,46
"PRsapo",122,124
"PRtele",105,108
"PRtiba1",117,127
"PRvent",101,107
"RScach1",30,49
"RScach3",71,72
"RScach4",48,49
"RSmorr1",109,114
"RSpet1",69,70
"RSrioz1",76,78
"SCilho",135,136
"SCilho2",157,182
"SCorle",112,118
"SCside",105,107
"SCside1",111,115
"SCside4",98,100
"SCtimbe1",142,149
"SCvolta1",52,53
"SPcamp1",108,152
"SPcara1",171,181
"SPcara3",130,143
"SPeec4",84,86
"SPeec5",74,77
"SPpecb1",221,224
"SPpei1",165,172
"SPpesm6",87,88
"SPpesmB",132,134
"SPpesmC",107,131
"SPpesmD",148,155
"SPpesmE",138,142
"SPpesmF",98,104
"SPpesmG",148,151
"SPpesmI",186,204
"SPpesmJ",187,206
"SPpesmK",162,189
